"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Tue Apr 14 00:06:49 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","2939","POST /users contract returns 201 with id","Contract Suite","Tue Apr 14 00:06:47 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","39","getPost_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:52 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","51","getPost_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:52 UTC 2026","passed","Tue Apr 14 00:06:52 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","45","getUser_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","42","getUser_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","38","getPost_nonExistentId_returns404","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","40","getPost_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:52 UTC 2026","passed","Tue Apr 14 00:06:52 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","45","GET /users/99999 contract returns 404","Contract Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","37","getPost_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:52 UTC 2026","passed","Tue Apr 14 00:06:52 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","77","createUser_emptyName_apiRespondsWithinSla","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
"","122","PUT /posts/{id} full update returns 200","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","updatePost_returns200WithUpdatedFields"
"","28","GET /posts returns list contract","Contract Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","83","POST /posts creates a post — data-driven","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","1789","GET /users returns 200 with non-empty list","Regression Suite","Tue Apr 14 00:06:45 UTC 2026","passed","Tue Apr 14 00:06:47 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getAllUsers_returns200WithNonEmptyList"
"","269","POST /users with full payload returns 201 with id assigned","Regression Suite","Tue Apr 14 00:06:49 UTC 2026","passed","Tue Apr 14 00:06:49 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","58","GET /posts/1 matches post schema contract","Contract Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_responseMatchesSchemaContract"
"","132","POST /posts creates a post — data-driven","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","782","GET /users/{id} for multiple IDs returns correct data","Regression Suite","Tue Apr 14 00:06:47 UTC 2026","passed","Tue Apr 14 00:06:48 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","141","POST /posts creates a post — data-driven","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","71","createUser_nullName_apiRespondsWithinSla","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","40","getUser_withBoundaryId_returns4xx","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","88","GET /posts?userId=1 filters posts by user","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","66","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","Tue Apr 14 00:06:50 UTC 2026","passed","Tue Apr 14 00:06:50 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","59","deletePost_nonExistentId_respondsWithinSla","Regression Suite","Tue Apr 14 00:06:51 UTC 2026","passed","Tue Apr 14 00:06:51 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
