"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","PUT /posts/{id} full update returns 200","Regression Suite","Thu Apr 30 01:15:56 UTC 2026","passed","Thu Apr 30 01:15:56 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","updatePost_returns200WithUpdatedFields"
"","34","DELETE /users/1 contract returns 200","Contract Suite","Thu Apr 30 01:15:46 UTC 2026","passed","Thu Apr 30 01:15:46 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","751","GET /users/1 returns correct user with valid schema","Regression Suite","Thu Apr 30 01:15:51 UTC 2026","passed","Thu Apr 30 01:15:52 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","112","createUser_emptyName_apiRespondsWithinSla","Regression Suite","Thu Apr 30 01:15:54 UTC 2026","passed","Thu Apr 30 01:15:54 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
"","2084","GET /users returns 200 with non-empty list","Regression Suite","Thu Apr 30 01:15:48 UTC 2026","passed","Thu Apr 30 01:15:51 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getAllUsers_returns200WithNonEmptyList"
"","260","POST /users with full payload returns 201 with id assigned","Regression Suite","Thu Apr 30 01:15:52 UTC 2026","passed","Thu Apr 30 01:15:52 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","39","getUser_nonExistentId_returns404","Regression Suite","Thu Apr 30 01:15:54 UTC 2026","passed","Thu Apr 30 01:15:54 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","50","getPost_withBoundaryId_returns4xx","Regression Suite","Thu Apr 30 01:15:57 UTC 2026","passed","Thu Apr 30 01:15:57 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","243","GET /users/1 response matches consumer schema contract","Contract Suite","Thu Apr 30 01:15:46 UTC 2026","passed","Thu Apr 30 01:15:46 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","2204","POST /users contract returns 201 with id","Contract Suite","Thu Apr 30 01:15:44 UTC 2026","passed","Thu Apr 30 01:15:46 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","38","getUser_withBoundaryId_returns4xx","Regression Suite","Thu Apr 30 01:15:55 UTC 2026","passed","Thu Apr 30 01:15:55 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","62","GET /users/99999 returns 404 for non-existent user","Regression Suite","Thu Apr 30 01:15:51 UTC 2026","passed","Thu Apr 30 01:15:51 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_nonExistent_returns404"
"","283","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Thu Apr 30 01:15:53 UTC 2026","passed","Thu Apr 30 01:15:53 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","721","GET /users/{id} for multiple IDs returns correct data","Regression Suite","Thu Apr 30 01:15:51 UTC 2026","passed","Thu Apr 30 01:15:51 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","240","getPost_nonExistentId_returns404","Regression Suite","Thu Apr 30 01:15:56 UTC 2026","passed","Thu Apr 30 01:15:56 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","105","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","Thu Apr 30 01:15:54 UTC 2026","passed","Thu Apr 30 01:15:54 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
"","283","getPostsByUserId_invalidUser_returnsEmptyOrError","Regression Suite","Thu Apr 30 01:15:57 UTC 2026","passed","Thu Apr 30 01:15:57 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPostsByUserId_invalidUser_returnsEmptyOrError"
"","107","DELETE /users/{id} with valid id returns 200","Regression Suite","Thu Apr 30 01:15:53 UTC 2026","passed","Thu Apr 30 01:15:54 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","247","getUser_withBoundaryId_returns4xx","Regression Suite","Thu Apr 30 01:15:54 UTC 2026","passed","Thu Apr 30 01:15:54 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","77","GET /posts/{id} returns correct post for id=1","Regression Suite","Thu Apr 30 01:15:56 UTC 2026","passed","Thu Apr 30 01:15:56 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostById_returnsExpectedPost"
"","26","POST /posts contract returns 201 with id","Contract Suite","Thu Apr 30 01:15:46 UTC 2026","passed","Thu Apr 30 01:15:46 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","createPost_contractReturns201"
