"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","PUT /users/{id} updates email correctly","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_emailField_isUpdated"
"","41","getUser_nonExistentId_returns404","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_nonExistentId_returns404"
"","208","POST /users with full payload returns 201 with id assigned","Regression Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withFullPayload_returns201AndAssignsId"
"","39","DELETE /users/1 contract returns 200","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","deleteUser_contractReturns200"
"","92","POST /users with minimal payload (name only) returns 201","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","createUser_withMinimalPayload_returns201"
"","61","GET /posts/1 matches post schema contract","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_responseMatchesSchemaContract"
"","126","getUser_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","21","GET /posts/99999 contract returns 404","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getPost_nonExistent_contractReturns404"
"","79","GET /posts/{id} returns correct post for id=1","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostById_returnsExpectedPost"
"","3101","POST /users contract returns 201 with id","Contract Suite","Wed Mar 18 23:52:54 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","93","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withFullPayload_returns200"
"","42","getUser_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","117","getPost_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","2440","GET /users returns 200 with non-empty list","Regression Suite","Wed Mar 18 23:52:54 UTC 2026","passed","Wed Mar 18 23:52:56 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getAllUsers_returns200WithNonEmptyList"
"","94","POST /posts creates a post — data-driven","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","119","PUT /posts/{id} full update returns 200","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","updatePost_returns200WithUpdatedFields"
"","104","getPost_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:01 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","34","getPost_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:53:01 UTC 2026","passed","Wed Mar 18 23:53:01 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","53","GET /users/99999 returns 404 for non-existent user","Regression Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_nonExistent_returns404"
"","143","PUT /users/{id} full update returns 200 with updated fields","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.CreateUserTests","User API Tests","com.vinoth.automation.tests.users.CreateUserTests","updateUser_withValidPayload_returns200"
"","58","DELETE /posts/{id} returns 200","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","deletePost_returns200"
"","41","getPost_nonExistentId_returns404","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_nonExistentId_returns404"
"","24","GET /users/99999 contract returns 404","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","67","createUser_emptyName_apiRespondsWithinSla","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_emptyName_apiRespondsWithinSla"
"","111","getUser_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","134","getUser_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","69","DELETE /users/{id} with valid id returns 200","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","71","DELETE /users/{id} response has json content type","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_responseHasJsonContentType"
"","120","getPostsByUserId_invalidUser_returnsEmptyOrError","Regression Suite","Wed Mar 18 23:53:01 UTC 2026","passed","Wed Mar 18 23:53:01 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPostsByUserId_invalidUser_returnsEmptyOrError"
"","60","deletePost_nonExistentId_respondsWithinSla","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","86","GET /posts?userId=1 filters posts by user","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","35","POST /posts contract returns 201 with id","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","createPost_contractReturns201"
"","69","createUser_nullName_apiRespondsWithinSla","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","278","PUT /users/{id} with random data returns 200","Regression Suite","Wed Mar 18 23:52:58 UTC 2026","passed","Wed Mar 18 23:52:58 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withRandomPayload_returns200"
"","91","POST /posts creates a post — data-driven","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","788","GET /users/{id} for multiple IDs returns correct data","Regression Suite","Wed Mar 18 23:52:56 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getMultipleUsers_eachReturns200"
"","94","POST /posts creates a post — data-driven","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","createPost_withValidData_returns201"
"","108","getPost_withBoundaryId_returns4xx","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","26","GET /posts returns list contract","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.PostContractTests","Contract Tests","com.vinoth.automation.tests.contract.PostContractTests","getAllPosts_contractReturnsList"
"","612","GET /users/1 returns correct user with valid schema","Regression Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.users.GetUserTests","User API Tests","com.vinoth.automation.tests.users.GetUserTests","getUserById_returns200WithValidSchema"
"","97","GET /posts returns 200 with non-empty list","Regression Suite","Wed Mar 18 23:53:00 UTC 2026","passed","Wed Mar 18 23:53:00 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getAllPosts_returns200"
"","317","GET /users/1 response matches consumer schema contract","Contract Suite","Wed Mar 18 23:52:57 UTC 2026","passed","Wed Mar 18 23:52:57 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_responseMatchesSchemaContract"
"","70","deleteUser_nonExistentId_respondsWithinSla","Regression Suite","Wed Mar 18 23:52:59 UTC 2026","passed","Wed Mar 18 23:52:59 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","deleteUser_nonExistentId_respondsWithinSla"
